MON,HOME,LTS,UTS,UNI,UTS,LTS,HOME,,,,,
TUE,HOME,LTS,UTS,UNI,COFFEE SHOP,UNI,UTS,LTS,HOME,CINEMA,RESTAURANT ,HOME
WED,HOME,SHOP,HOME,,,,,,,,,
THU,HOME,LTS,UTS,UNI,COFFEE SHOP,UNI,RESTAURANT,UNI,UTS,LTS,HOME,
FRI,HOME,SHOP,HOME,,,,,,,,,
SAT,HOME,CAFÉ,SHOP,SHOP,SHOP,SHOP,SHOP,HOME,,,,
SUN,HOME,,,,,,,,,,,
